clinic_location,general_location,final_latitude,final_longitude
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Haram , Station Mashaal","El-Haram , Station Mashaal",,
"El-Mokattam , Middle Hadaba","El-Mokattam , Middle Hadaba",,
"El-Mansoura ,  hamza ebn abdelmotleb street","El-Mansoura ,  hamza ebn abdelmotleb street",,
"El-Mansoura , abdo maarof street","El-Mansoura , abdo maarof street",,
"Hurghada City , Mohamed Said St. (Metro), El Kawther","Hurghada City , Mohamed Said St. (Metro), El Kawther",,
"El-Dokki , Mosdak Street","El-Dokki , Mosdak Street",,
"El-Sheikh Zayed , twin tower -","El-Sheikh Zayed , twin tower -",,
"El-Rehab , Medical Complex 1","El-Rehab , Medical Complex 1",,
"Sporting , Ahmed Allam st from elHorya Road","Sporting , Ahmed Allam st from elHorya Road",,
Fifth Settlement Medical Center,Fifth Settlement Medical Center,,
"El-Mansoura , Marinet Mubarak Madina Monawara st.","El-Mansoura , Marinet Mubarak Madina Monawara st.",,
"6th of October , in front of wadi degla club","6th of October , in front of wadi degla club",,
Faisal,Faisal,30.0978834,32.4856496
"Mahalla , Talaat Harb street","Mahalla , Talaat Harb street",,
Faisal street,Faisal street,31.5587847,74.289134
Mahalla,Mahalla,40.0155864,64.7677952
"El-Agamy , Goweida moftah street","El-Agamy , Goweida moftah street",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"Aga , elgalaa street","Aga , elgalaa street",,
"Heliopolis , Elmontazah St from ElHegaz St","Heliopolis , Elmontazah St from ElHegaz St",,
Maadi Ring Road,Maadi Ring Road,29.9934593,31.3850161
"Hadayek El-Ahram , z","Hadayek El-Ahram , z",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Giza , Hamadan","El-Giza , Hamadan",,
"6th of October , al mehwar al markzi","6th of October , al mehwar al markzi",,
Nasr City,Nasr City,30.0521177,31.3422045
06-Oct,06-Oct,22.5369227,113.9779003
Heliopolis,Heliopolis,-10.6753416,-38.2815308
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
Helwan,Helwan,29.8500001,31.333333
Faisal street,Faisal street,31.5587847,74.289134
"Mahalla , Talaat Harb street","Mahalla , Talaat Harb street",,
Mahalla,Mahalla,40.0155864,64.7677952
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
"El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki","El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki",,
Alharam street,Alharam street,15.2855885,44.2258985
El-Dokki,El-Dokki,30.0388955,31.2125563
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"Heliopolis , -behind Miliatry College","Heliopolis , -behind Miliatry College",,
"Aga , elgalaa street","Aga , elgalaa street",,
"Heliopolis , Elmontazah St from ElHegaz St","Heliopolis , Elmontazah St from ElHegaz St",,
Maadi Ring Road,Maadi Ring Road,29.9934593,31.3850161
"Hadayek El-Ahram , z","Hadayek El-Ahram , z",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Giza , Hamadan","El-Giza , Hamadan",,
"6th of October , al mehwar al markzi","6th of October , al mehwar al markzi",,
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"El-Dokki , Musadak Street-Infront Of Dunkin Donuts","El-Dokki , Musadak Street-Infront Of Dunkin Donuts",,
"Nasr City , Mostafa elnhas St","Nasr City , Mostafa elnhas St",,
"El-Maadi , 9th St.","El-Maadi , 9th St.",,
Nasr City,Nasr City,30.0521177,31.3422045
06-Oct,06-Oct,22.5369227,113.9779003
"El-Mokattam , 9 street","El-Mokattam , 9 street",,
"El-Mohandessin , Alfawakh St","El-Mohandessin , Alfawakh St",,
6th of October,6th of October,29.9723458,30.9409205
"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower","Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",,
"Hadayek El-Ahram , first entrance of first gate","Hadayek El-Ahram , first entrance of first gate",,
"Hadayek El-Ahram , El Geish street","Hadayek El-Ahram , El Geish street",,
"El-Maadi , Al Nasr St. - Gazaer Square","El-Maadi , Al Nasr St. - Gazaer Square",,
